,Avg Speed,Min Speed,Max Speed,Min Shoulder Angle,Max Shoulder Angle,Min Elbow Angle,Max Elbow Angle,Min Knee Angle,Max Knee Angle
windup,-0.41134388527355514,-322.7493106601292,1264.8077536683857,78.17800368656188,179.54246706617545,0.19134969727116413,149.0580912378926,0.1550626241630937,24.826754025459877
stride,14.97705887201203,-14.087970414510279,52.87991343628797,78.07061660533248,109.6822152610641,51.35887921410344,99.84066589988902,23.26689709442516,47.189595862601436
arm_cocking,-68.57429576478188,-90.69014261492939,-43.47331817855512,95.61168338411483,105.79812763219837,16.05998730716064,37.384217152189336,48.83338806698319,51.72999738241032
acceleration,-42.39331091518138,-319.76266603921505,357.0185571683344,17.32774702332685,81.70872850830892,17.55933517778641,58.56105240071727,54.579014061982065,59.81076551477389
release,-80.462871255364,-231.3164980919371,24.42894302178899,22.19965570419552,35.241096591627525,24.51453778076049,53.00256360211918,62.006307591187095,64.36128064130139
follow_through,10.533454804207315,-101.30728504740773,77.88287779708138,46.456436472612324,160.04475753749256,0.1323007566462593,40.672770388039,68.32305986147202,84.0488429830433
unknown,0.0,inf,-inf,inf,-inf,inf,-inf,inf,-inf
